name	???
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif


anim grab
	loop	0
	delay	15
	offset	68 135
	bbox	55 73 29 62
	frame	data/chars/warrior/idle.gif
	delay   3
	frame	data/chars/warrior/sp01.gif
	attack  35 63 77 30 35 1
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	frame	data/chars/warrior/sp01.gif
	frame	data/chars/warrior/sp02.gif
	frame	data/chars/warrior/sp03.gif
	frame	data/chars/warrior/sp04.gif
	attack  0 0 0 0 0 0
	delay   15
	frame	data/chars/warrior/idle.gif


anim pain
	loop	0
	delay	10
	bbox	55 73 29 62
	offset	68 135
	frame	data/chars/warrior/pain1.gif
        delay   35
	frame	data/chars/warrior/pain2.gif


anim fall
	loop	0
	offset	68 135
	delay   60
        attack  46 87 26 30 5 1
	frame	data/chars/warrior/fall1.gif
        delay   20
        attack  0 0 0 0 0
	frame	data/chars/warrior/fall2.gif
	frame	data/chars/warrior/fall3.gif


anim rise
	loop	0
	delay	20
	offset	68 135
	frame	data/chars/warrior/rise.gif


anim death
	loop	0
	delay	135
	offset	68 135
	frame	data/chars/warrior/fall3.gif
	delay	10
	offset	68 335
	frame	data/chars/warrior/rise.gif
	delay   1
	sound   data/sounds/mastd2.wav
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	frame	data/chars/warrior/die2.gif
	frame	data/chars/warrior/die1.gif
	delay   15
	frame	data/chars/warrior/die3.gif
	frame	data/chars/warrior/die4.gif



