name	Hong
	bbox	47 47 19 70	
	delay	7
	frame   data/chars/Hong/spin00.gif
 	frame   data/chars/Hong/spin01.gif
        blast	13 52 45 45 13 1
	frame   data/chars/Hong/spin02.gif
        attack	0
 	frame   data/chars/Hong/spin03.gif
        blast	59 47 46 20 13 1
	frame   data/chars/Hong/spin04.gif
        blast	0
 	frame   data/chars/Hong/spin05.gif
	frame   data/chars/Hong/spin06.gif

anim upper
	loop	0
	offset	60 116	
	delay	7
	frame   data/chars/Hong/spin00.gif
 	frame   data/chars/Hong/spin01.gif
        blast	13 52 45 45 13 1
	frame   data/chars/Hong/spin02.gif
        blast	0
 	frame   data/chars/Hong/spin03.gif
        attack	59 47 46 20 13 1
	frame   data/chars/Hong/spin04.gif
        blast	0
 	frame   data/chars/Hong/spin05.gif
	frame   data/chars/Hong/spin06.gif



anim pain
	loop	0
	offset	60 116
	bbox	47 47 19 70	
	delay	20
	frame   data/chars/Hong/pain00.gif
	bbox	47 47 19 70
 	frame   data/chars/Hong/pain01.gif

anim pain2
	loop	0
	offset	40 126
	bbox	47 47 19 70	
	delay	30
	jumpframe 0
        frame   data/chars/Hong/fall00.gif
	bbox	47 47 19 70
 	frame   data/chars/Hong/fall01.gif

anim pain3
	loop	0
	offset	60 116
	bbox	47 47 19 70	
	delay	50
	
	bbox	47 47 19 70
 	frame   data/chars/Hong/pain01.gif

anim pain4
	 loop       0
	 delay      2
	 offset     60 116
 	 bbox	    47 47 19 70
	 move       -3
         frame      data/chars/Hong/pain01.gif
         frame      data/chars/Hong/pain01.gif
         frame      data/chars/Hong/pain01.gif
         frame      data/chars/Hong/pain01.gif
	 move       0
	 delay      50
         frame      data/chars/Hong/pain01.gif

anim fall
	loop	0
	offset	60 110
	delay	20
	attack	28 59 32 18 4 1
	frame   data/chars/Hong/fall00.gif
	frame   data/chars/Hong/fall00.gif
	frame   data/chars/Hong/fall01.gif

anim fall2
	loop	0
	offset	60 110
	delay	20
	attack	28 59 32 18 4 1
	bbox    28 59 32 18
          jumpframe 0 4 0 0
        move    -2
        frame   data/chars/Hong/fall00.gif
	frame   data/chars/Hong/fall00.gif
	move    0
        frame   data/chars/Hong/fall01.gif

anim fall4
	loop	0
	offset	60 110
	delay	20
	bbox    28 59 32 18
	frame   data/chars/Hong/fall00.gif
	frame   data/chars/Hong/fall00.gif
	frame   data/chars/Hong/fall01.gif

anim rise
	loop	0
	offset	60 116
	delay	5
        frame   data/chars/Hong/rise.gif


